	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s11.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d	C:\Users\51792\Desktop\preprocessed_data_20251120\13\s1\s12.c3d
	Left_Hip_Angle	Left_Hip_Angle	Left_Hip_Angle	Left_Hip_Moment	Left_Hip_Moment	Left_Hip_Power	Left_Knee_Angle	Left_Knee_Angle	Left_Knee_Angle	Left_Knee_Moment	Left_Knee_Moment	Left_Knee_Power	Left_Ankle_Angle	Left_Ankle_Angle	Left_Ankle_Angle	Left_Ankle_Moment	Left_Ankle_Moment	Left_Ankle_Power	Left_Pelvic_Angle	Left_Pelvic_Angle	Left_Pelvic_Angle	Left_Foot_Pitch_Angle	Left_Foot_Progression	Right_Hip_Angle	Right_Hip_Angle	Right_Hip_Angle	Right_Hip_Moment	Right_Hip_Moment	Right_Hip_Power	Right_Knee_Angle	Right_Knee_Angle	Right_Knee_Angle	Right_Knee_Moment	Right_Knee_Moment	Right_Knee_Power	Right_Ankle_Angle	Right_Ankle_Angle	Right_Ankle_Angle	Right_Ankle_Moment	Right_Ankle_Moment	Right_Ankle_Power	Right_Pelvic_Angle	Right_Pelvic_Angle	Right_Pelvic_Angle	Right_Foot_Pitch_Angle	Right_Foot_Progression	Left_Hip_Angle	Left_Hip_Angle	Left_Hip_Angle	Left_Hip_Moment	Left_Hip_Moment	Left_Hip_Power	Left_Knee_Angle	Left_Knee_Angle	Left_Knee_Angle	Left_Knee_Moment	Left_Knee_Moment	Left_Knee_Power	Left_Ankle_Angle	Left_Ankle_Angle	Left_Ankle_Angle	Left_Ankle_Moment	Left_Ankle_Moment	Left_Ankle_Power	Left_Pelvic_Angle	Left_Pelvic_Angle	Left_Pelvic_Angle	Left_Foot_Pitch_Angle	Left_Foot_Progression	Right_Hip_Angle	Right_Hip_Angle	Right_Hip_Angle	Right_Hip_Moment	Right_Hip_Moment	Right_Hip_Power	Right_Knee_Angle	Right_Knee_Angle	Right_Knee_Angle	Right_Knee_Moment	Right_Knee_Moment	Right_Knee_Power	Right_Ankle_Angle	Right_Ankle_Angle	Right_Ankle_Angle	Right_Ankle_Moment	Right_Ankle_Moment	Right_Ankle_Power	Right_Pelvic_Angle	Right_Pelvic_Angle	Right_Pelvic_Angle	Right_Foot_Pitch_Angle	Right_Foot_Progression
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	X	X	Y	Z	X	Y	X	X	Y	Z	X	Y	X	X	Y	Z	X	Z	X	Y	Z	X	Y	X	X	Y	Z	X	Y	X	X	Y	Z	X	Y	X	X	Y	Z	X	Z	X	Y	Z	X	Y	X	X	Y	Z	X	Y	X	X	Y	Z	X	Y	X	X	Y	Z	X	Z	X	Y	Z	X	Y	X	X	Y	Z	X	Y	X	X	Y	Z	X	Y	X	X	Y	Z	X	Z
1	16.61883	-9.88892	-15.24890	2.46416	2.11977	0.01632	17.30428	5.37162	-6.88948	-0.07903	0.01051	-0.19366	7.19537	9.01288	-4.31343	-0.00169	-0.00627	-0.00488	11.55945	-3.27824	-176.82089	-4.54428	153.91068	20.06890	-0.13731	-0.75651	-0.05567	-0.11167	0.00393	7.16531	-1.66801	-11.14687	-0.02947	-0.06867	-0.00367	-3.69878	16.32908	5.49742	-0.00414	-0.01033	-0.00453	5.74911	5.25051	170.59773	-10.52229	163.42793	26.26819	-13.53783	-16.76513	0.24294	-10.46548	0.00559	21.09748	2.97445	1.73017	-0.15032	-0.09215	-0.84364	6.64045	9.40688	-6.03304	-0.02514	-0.00851	-0.12355	14.66494	-5.44772	4.14657	6.21425	-20.75737	21.57084	-1.32020	-0.68668	-0.09920	-0.18343	0.02891	7.57574	-1.74882	-10.83377	0.01432	-0.10894	-0.00122	-5.32496	18.01137	6.01028	-0.01485	-0.01495	-0.02197	5.77475	5.12509	-16.23238	10.99759	-22.83093
2	16.28620	-9.65633	-15.93338	-30.70494	-10.85222	-0.12699	16.06287	4.63719	-6.73067	0.24186	-0.16065	0.44486	5.54742	7.51047	-3.79913	-0.01419	-0.02188	-0.03371	11.48460	-3.71272	-176.34514	-3.30425	154.78488	20.10632	-0.22969	-1.26490	0.09134	-0.26119	-0.00641	7.06080	-1.99659	-10.67787	-0.08582	-0.16400	-0.01650	-4.73924	16.15769	6.64656	-0.01768	-0.02824	-0.02490	5.95520	4.86244	170.67824	-9.53258	164.39397	25.19108	-13.14719	-17.59929	-50.93172	-22.62848	-1.00926	18.23658	2.06553	2.20189	0.42634	-0.33237	1.79479	3.87852	8.13790	-5.58718	-0.03439	-0.02503	-0.14177	14.59642	-5.95703	4.85902	4.75910	-19.37907	21.71874	-1.16549	-1.05193	-0.01898	-0.30540	0.00457	7.62764	-2.29107	-10.55112	-0.00536	-0.19467	0.00068	-6.63232	17.24381	7.36328	-0.03651	-0.03328	-0.05894	5.93571	4.74513	-15.97951	9.55599	-21.54338
3	16.03930	-9.40246	-16.72658	-11.14190	-22.09175	-0.01939	15.25164	3.80418	-6.18577	0.15069	-0.22101	0.16267	4.37531	6.11793	-3.61208	0.03972	-0.02068	0.06078	11.41549	-4.12858	-175.85555	-2.17293	155.57996	20.14468	-0.27275	-1.93489	0.33764	-0.39651	-0.02977	6.90119	-2.40577	-9.93236	-0.18430	-0.25158	-0.04420	-5.95919	16.00800	7.82343	-0.02874	-0.03704	-0.04784	6.17770	4.51680	170.76144	-8.37633	165.50047	24.34094	-12.77909	-18.24771	22.47912	-31.26054	0.32660	16.29928	1.15251	2.39948	-0.06067	-0.20247	-0.14916	1.80597	6.77788	-5.21517	0.14666	0.02771	0.40601	14.50796	-6.43353	5.59843	3.30537	-18.25642	21.83084	-0.98499	-1.48025	0.12105	-0.36064	-0.02176	7.68496	-2.87832	-9.92696	-0.06283	-0.24802	0.01163	-7.92151	16.39557	8.52379	-0.03938	-0.03815	-0.06467	6.08533	4.40632	-15.70535	7.95177	-20.11445
4	15.89996	-9.16001	-17.43938	20.34259	-17.05883	-0.00493	14.91513	2.94827	-5.38569	-0.05742	-0.13781	-0.01627	3.79470	5.04607	-3.86300	0.02682	-0.00979	0.01668	11.35401	-4.50736	-175.36131	-1.30685	156.20274	20.20024	-0.27261	-2.70087	0.34474	-0.33207	-0.04827	6.70782	-2.85547	-8.85043	-0.17873	-0.23431	-0.03615	-7.23472	15.89155	8.77862	-0.02978	-0.03163	-0.05280	6.41219	4.23747	170.84923	-7.12009	166.64391	23.83959	-12.45558	-18.43679	65.74550	-41.97524	0.57065	15.42339	0.31305	2.14434	-0.34001	-0.19475	-0.22651	0.64140	5.57717	-5.02206	0.06322	0.02991	0.08218	14.40251	-6.83064	6.33472	2.10960	-17.45225	21.90945	-0.83236	-1.90898	0.24732	-0.37020	-0.03321	7.75586	-3.42905	-8.89079	-0.08523	-0.28592	0.02554	-9.02964	15.55774	9.17281	-0.11155	-0.06757	-0.16812	6.21557	4.12677	-15.41278	6.32471	-18.72093
5	15.88087	-8.97031	-17.83768	31.33708	-13.92733	-0.04798	15.01764	2.17497	-4.47986	-0.06314	-0.11312	0.02521	3.74887	4.36200	-4.62602	0.01645	-0.00461	-0.00166	11.30394	-4.83760	-174.87288	-0.73072	156.64035	20.29709	-0.24991	-3.46206	0.25461	-0.26813	-0.05879	6.54394	-3.27480	-7.42482	-0.13576	-0.21872	-0.00333	-8.38444	15.80577	9.26043	-0.02766	-0.03267	-0.04570	6.65040	4.04080	170.93999	-5.86075	167.69972	23.72073	-12.20029	-17.89771	64.07230	-42.45059	0.28296	15.53806	-0.33077	1.35644	-0.24925	-0.26213	0.19834	0.30593	4.71023	-5.12050	0.06979	0.02021	0.00989	14.27907	-7.10855	7.03793	1.25317	-16.92257	21.97281	-0.75100	-2.24297	0.35662	-0.37675	-0.04546	7.88264	-3.85328	-7.48388	-0.16160	-0.31001	0.08160	-9.80367	14.84602	9.07821	-0.02881	-0.05878	-0.03434	6.32264	3.91988	-15.10620	4.83927	-17.54578
6	15.97667	-8.87618	-17.73259	25.57391	-5.94110	-0.05113	15.44555	1.59213	-3.58503	0.03798	-0.08827	-0.03234	4.06918	4.01670	-5.92453	0.02961	0.00683	-0.01559	11.27141	-5.11835	-174.39877	-0.39032	156.93221	20.45771	-0.23387	-4.09383	0.17170	-0.24059	-0.06041	6.50343	-3.58534	-5.74586	-0.09351	-0.21686	0.02813	-9.22100	15.73952	9.11938	-0.02673	-0.03569	-0.03451	6.87844	3.92630	171.02722	-4.70993	168.56401	23.89231	-12.03253	-16.52886	28.27854	-28.07839	0.09298	16.35229	-0.63402	0.13934	0.07641	-0.29882	-0.12544	0.52677	4.22414	-5.61540	0.08118	0.01478	-0.04226	14.13178	-7.24423	7.68694	0.70425	-16.57724	22.04870	-0.76069	-2.37965	0.23188	-0.22273	-0.03902	8.13312	-4.08878	-5.87726	-0.09375	-0.23097	0.07446	-10.14997	14.36963	8.20450	0.00884	-0.03359	0.00648	6.40816	3.79152	-14.79071	3.63105	-16.70654
