,Right_Hip_Angle,Right_Hip_Angle,Right_Hip_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Foot_Pitch_Angle
,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED
ITEM,X,Y,Z,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4
1.0,20.0689,-0.13731,-0.75651,7.16531,-1.66801,-11.14687,-3.69878,16.32908,5.49742,5.74911,5.25051,170.59773,-10.52229
2.0,20.10632,-0.22969,-1.2649,7.0608,-1.99659,-10.67787,-4.73924,16.15769,6.64656,5.9552,4.86244,170.67824,-9.53258
3.0,20.14468,-0.27275,-1.93489,6.90119,-2.40577,-9.93236,-5.95919,16.008,7.82343,6.1777,4.5168,170.76144,-8.37633
4.0,20.20024,-0.27261,-2.70087,6.70782,-2.85547,-8.85043,-7.23472,15.89155,8.77862,6.41219,4.23747,170.84923,-7.12009
5.0,20.29709,-0.24991,-3.46206,6.54394,-3.2748,-7.42482,-8.38444,15.80577,9.26043,6.6504,4.0408,170.93999,-5.86075
6.0,20.45771,-0.23387,-4.09383,6.50343,-3.58534,-5.74586,-9.221,15.73952,9.11938,6.87844,3.9263,171.02722,-4.70993
7.0,20.69532,-0.24628,-4.47413,6.67788,-3.73637,-4.01623,-9.62671,15.68206,8.38458,7.08103,3.87679,171.10306,-3.76018
8.0,21.01083,-0.2921,-4.51285,7.11678,-3.72134,-2.50476,-9.59832,15.62667,7.25082,7.24944,3.86998,171.16576,-3.05335
9.0,21.39247,-0.36785,-4.17244,7.80224,-3.56471,-1.47075,-9.23957,15.56793,6.00195,7.38486,3.88732,171.2234,-2.57442
10.0,21.81579,-0.47051,-3.48156,8.65107,-3.30151,-1.0821,-8.71341,15.50381,4.90843,7.49438,3.91393,171.29086,-2.27251
11.0,22.24529,-0.59375,-2.54221,9.54283,-2.96864,-1.36457,-8.18152,15.43321,4.15251,7.5869,3.93765,171.38495,-2.08852
12.0,22.63659,-0.72622,-1.51547,10.35658,-2.60578,-2.19985,-7.75799,15.34581,3.80276,7.67075,3.94903,171.52094,-1.97147
13.0,22.9415,-0.85798,-0.58364,10.99884,-2.25916,-3.36376,-7.49134,15.2235,3.82576,7.75182,3.94083,171.70976,-1.88322
14.0,23.11911,-0.98468,0.09325,11.41792,-1.97956,-4.5831,-7.36979,15.05556,4.11266,7.83375,3.90791,171.95627,-1.79952
15.0,23.15375,-1.10055,0.41092,11.61438,-1.81058,-5.6012,-7.33707,14.84922,4.51399,7.9213,3.85165,172.25894,-1.70953
16.0,23.06895,-1.18971,0.34074,11.64194,-1.77487,-6.24044,-7.31554,14.62843,4.881,8.02465,3.78491,172.61165,-1.6125
17.0,22.92029,-1.23142,-0.06585,11.58528,-1.86729,-6.43221,-7.23471,14.42429,5.09638,8.15673,3.72733,173.00334,-1.51213
18.0,22.77086,-1.21497,-0.69031,11.52408,-2.05539,-6.21628,-7.05683,14.25972,5.09484,8.32459,3.69418,173.41527,-1.41237
19.0,22.6697,-1.14648,-1.37848,11.50891,-2.28784,-5.71128,-6.78312,14.1395,4.86545,8.52557,3.69056,173.82175,-1.31609
20.0,22.64252,-1.04345,-1.98146,11.56073,-2.50974,-5.08004,-6.44201,14.0534,4.45043,8.75032,3.71388,174.1958,-1.22522
21.0,22.69292,-0.92689,-2.38911,11.68353,-2.67547,-4.49146,-6.0699,13.98485,3.93298,8.98678,3.75711,174.51529,-1.1412
22.0,22.80964,-0.81549,-2.54827,11.87362,-2.75571,-4.08649,-5.69871,13.91737,3.41587,9.22346,3.81137,174.76729,-1.0653
23.0,22.97516,-0.72259,-2.46405,12.12143,-2.74172,-3.95275,-5.35258,13.83974,2.99527,9.45187,3.86763,174.95047,-0.99812
24.0,23.17121,-0.65468,-2.18688,12.41137,-2.64476,-4.11241,-5.04693,13.74776,2.73667,9.66777,3.91827,175.07388,-0.93893
25.0,23.37979,-0.61145,-1.79374,12.72367,-2.4894,-4.52412,-4.78641,13.64151,2.66106,9.87021,3.95759,175.15332,-0.88584
26.0,23.58209,-0.5876,-1.37122,13.03591,-2.30677,-5.0943,-4.56466,13.52382,2.74276,10.05984,3.98208,175.2072,-0.83686
