frame,time,Gastrocnemius Medialis,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius,External Oblique
0.0,4.27392,0.33437,0.0,0.254905,0.0787112,0.253174,0.0,0.0757402,0.0,0.0,0.342008,0.0
1.0,4.30726,0.0682067,0.0,0.0,0.0315001,0.151281,0.0590802,0.00650585,0.0,0.0,0.110594,0.149236
2.0,4.34059,0.0,0.18745,0.139517,0.0,0.165843,0.137385,0.0,0.0100543,0.0,0.0606227,0.0745875
3.0,4.37392,0.0,0.110345,0.0,0.0,0.0533282,0.073683,0.0,0.0,0.00601917,0.0459933,0.113131
4.0,4.40726,0.0,0.14938,0.0,0.0,0.0,0.0709427,0.00649,0.0145672,0.0,0.227987,0.125337
5.0,4.44059,0.0,0.261537,0.0,0.0,0.0,0.0,0.0884247,0.0432517,0.0580473,0.163118,0.0714287
6.0,4.47392,0.0,0.568464,0.0,0.0,0.0,0.0,0.0154102,0.0764282,0.372931,0.0397132,0.0511905
7.0,4.50726,0.0206637,0.577555,0.0,0.0,0.0,0.0,0.0,0.150205,0.426774,0.0,0.0283179
8.0,4.54059,0.0247557,0.491685,0.0,0.0,0.0,0.0,0.0,0.25041,0.416218,0.0,0.0411001
9.0,4.57392,0.0152202,0.321506,0.0,0.0,0.0,0.0,0.0,0.274147,0.304306,0.0,0.036081
10.0,4.60726,0.0210387,0.382312,0.0,0.0,0.0,0.0,0.0687588,0.236133,0.0,0.0,0.0
11.0,4.64059,0.0391726,0.328039,0.0,0.0,0.0,0.0,0.0631307,0.348193,0.0,0.0835296,0.0
12.0,4.67392,0.0214007,0.0749166,0.0,0.0,0.0,0.0,0.107174,0.256713,0.0368087,0.151771,0.0
13.0,4.70726,0.0173758,0.0770606,0.0,0.0,0.0,0.000652647,0.14008,0.0970077,0.0,0.0910372,0.0
14.0,4.74059,0.0,0.963617,0.0,0.0280478,0.10553,0.00408501,0.0853475,0.0431047,0.0,0.0361597,0.0278137
15.0,4.77392,0.0,0.856338,0.0,0.0445139,0.164349,0.0497622,0.0,0.0,0.0,0.00195779,0.029738
16.0,4.80726,0.0,0.202779,0.0151099,0.0399892,0.197106,0.184622,0.0,0.0,0.0058186,0.0,0.0
17.0,4.84059,0.0943102,0.188733,0.0255126,0.0110234,0.0702638,0.0940828,0.0,0.0,0.000621561,0.00834486,0.075524
18.0,4.87392,0.0,0.265919,0.0,0.0,0.0284299,0.12945,0.0472056,0.219049,0.0,0.251797,0.127893
19.0,4.90726,0.0,0.339619,0.0,0.0,0.0746541,0.262207,0.0176728,0.275666,0.0,0.400608,0.114062
20.0,4.94059,0.229845,0.248003,0.032378,0.0,0.00781436,0.181479,0.0,0.0504151,0.0,0.445645,0.0932432
21.0,4.97392,0.351089,0.0479878,0.0510797,0.0,0.0,0.196142,0.0,0.210778,0.0,0.600923,0.0839914
