frame,time,Gastrocnemius Medialis,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius,External Oblique
0.0,7.33726,0.616905,0.315072,0.668027,0.0537011,0.141447,0.553888,0.0,0.0,0.0188375,0.492874,0.0
1.0,7.37059,0.655785,0.375559,0.455032,0.0125656,0.0430953,0.5279,0.0,0.0042073,0.061179,0.502428,0.00103479
2.0,7.40392,0.0232182,0.0756112,0.0,0.11257,0.285297,0.0,0.482604,0.0,0.0,0.697849,0.689815
3.0,7.43726,0.370367,0.189415,0.435402,0.0,0.00074875,0.210151,0.0,0.0,0.0485221,0.169294,0.0
4.0,7.47059,0.135481,0.0428502,0.196906,0.0,0.0100965,0.0150863,0.0,0.0125243,0.0,0.0715691,0.0690995
5.0,7.50392,0.309635,0.0,0.223599,0.0346915,0.134705,0.0,0.0424352,0.0,0.000259906,0.31667,0.0153359
6.0,7.53726,0.490824,0.0,0.104401,0.0515623,0.177988,0.0,0.156715,0.0146586,0.0,0.70496,0.100554
7.0,7.57059,0.0,0.0351669,0.0,0.0102796,0.115238,0.107793,0.0,0.0,0.0829715,0.0,0.134083
8.0,7.60392,0.0,0.0374546,0.0,0.0116382,0.104789,0.0,0.000165839,0.0,0.0583306,0.0,0.166638
9.0,7.63726,0.0,0.0497386,0.0,0.0,0.00382844,0.145841,0.0,0.0,0.00774335,0.0299149,0.107794
10.0,7.67059,0.0,0.0598686,0.0,0.0,0.00261117,0.0,0.0086465,0.0,0.00416557,0.0329573,0.121714
11.0,7.70392,0.0,0.194784,0.0,0.0,0.0,0.0,0.0753373,0.00534644,0.0982666,0.0638684,0.125871
12.0,7.73726,0.0,0.388402,0.0,0.0,0.0,0.0,0.214537,0.00560683,0.228766,0.0194156,0.0808334
13.0,7.77059,0.0463191,0.697251,0.0,0.0,0.0,0.0,0.323599,0.0259691,0.554966,0.0,0.202481
14.0,7.80392,0.0550248,0.690993,0.0,0.0,0.0,0.0,0.296858,0.154795,0.5803,0.0,0.173517
15.0,7.83726,0.0386299,0.535996,0.0,0.0,0.0,0.0,0.130349,0.25583,0.450022,0.0,0.140068
16.0,7.87059,0.0285188,0.370452,0.0,0.0,0.0,0.0,0.0652861,0.29221,0.368919,0.000661753,0.145964
17.0,7.90392,0.0389734,0.217684,0.0,0.0,0.0,0.0,0.148409,0.384769,0.204602,0.0449946,0.0183956
18.0,7.93726,0.0,0.966345,0.0,0.0356236,0.128433,0.0,0.178524,0.116542,0.0,0.112644,0.0
19.0,7.97059,0.0,0.755813,0.0,0.139766,0.416559,0.207622,0.0,0.0,0.0,0.00208827,0.0
20.0,8.00392,0.0193175,0.171346,0.0,0.0804233,0.286866,0.0902877,0.0385881,0.0,0.0,0.18519,0.206476
21.0,8.03726,0.138011,0.0493454,0.019909,0.0501187,0.216004,0.054175,0.0550807,0.00837636,0.0,0.196437,0.227538
22.0,8.07059,0.105357,0.207749,0.0274054,0.0194418,0.157869,0.121226,0.0,0.0,0.0,0.00589515,0.139924
23.0,8.10392,0.159993,0.306949,0.0596351,0.0233868,0.134839,0.0306418,0.0597859,0.0481595,0.0,0.219451,0.139905
24.0,8.13726,0.470009,0.397329,0.0,0.0346173,0.156077,0.124216,0.0292953,0.0115981,0.0,0.261714,0.171204
25.0,8.17059,0.513183,0.304192,0.0,0.0141367,0.0922439,0.129161,0.0128016,0.0198154,0.0,0.321946,0.0933942
26.0,8.20392,0.565564,0.335325,0.141081,0.0160639,0.0843526,0.204961,0.0,0.0,0.0,0.276962,0.1419
27.0,8.23726,0.448713,0.254351,0.0449808,0.00774211,0.0564198,0.189997,0.0,0.0,0.0,0.278876,0.135214
28.0,8.27059,0.768473,0.456313,0.0268348,0.0141293,0.0457251,0.245502,0.0,0.0,0.0,0.188026,0.0409845
29.0,8.30392,0.521721,0.401756,0.0,0.012857,0.0379115,0.277162,0.0,0.0,0.0556499,0.00323134,0.0
30.0,8.33726,0.642225,0.262257,0.0167787,0.0682631,0.176898,0.264511,0.0,0.0,0.0782609,0.0,0.0
31.0,8.37059,0.660212,0.112865,0.340608,0.0493609,0.12327,0.381638,0.0,0.0,0.0539129,0.123856,0.0
32.0,8.40392,0.545681,0.254848,0.66463,0.0559295,0.146977,0.416832,0.0,0.0,0.0116614,0.321105,0.0
33.0,8.43726,0.616607,0.304978,0.661461,0.0562171,0.146442,0.55077,0.0,0.0,0.00976071,0.508671,0.0
34.0,8.47059,0.559609,0.356756,0.502332,0.0150247,0.0473198,0.568598,0.0,0.00951478,0.08025,0.449255,0.0
35.0,8.50392,0.0,0.116431,0.0,0.111828,0.284332,0.0,0.479565,0.0,0.0,0.677673,0.69765
36.0,8.53726,0.252211,0.254264,0.420066,0.0,0.0199705,0.185196,0.0,0.0,0.0448832,0.122228,0.0
37.0,8.57059,0.0699999,0.18582,0.217729,0.0,0.0274454,0.0,0.0,0.015006,0.0,0.0398447,0.125051
38.0,8.60392,0.270751,0.0,0.124913,0.0313459,0.134,0.0,0.0989891,0.00211133,0.000880614,0.25814,0.0543597
39.0,8.63726,0.30659,0.0,0.176207,0.0192687,0.119867,0.0,0.156729,0.019193,0.0,0.57611,0.159008
40.0,8.67059,0.0,0.0414307,0.0,0.0115659,0.118159,0.0820364,0.0,0.0,0.0950467,0.0,0.138657
41.0,8.70392,0.0,0.0461979,0.0,0.0,0.0718144,0.0545699,0.0,0.0,0.0324886,0.0,0.169474
42.0,8.73726,0.0,0.0480541,0.0,0.0,0.0144915,0.0518556,0.0,0.0,0.000299096,0.0487722,0.188117
43.0,8.77059,0.0,0.0664192,0.0,0.0,0.00519084,0.0,0.0357184,0.00208039,0.0112633,0.0676448,0.118908
44.0,8.80392,0.0,0.240306,0.0,0.0,0.0,0.0,0.109759,0.0126174,0.128078,0.0521688,0.108842
45.0,8.83726,0.0,0.387302,0.0,0.0,0.0,0.0,0.272681,0.010025,0.235605,0.0,0.271379
46.0,8.87059,0.0599511,0.715196,0.0,0.0,0.0,0.0,0.384193,0.0272369,0.578966,0.0,0.253365
47.0,8.90392,0.0508319,0.674797,0.0,0.0,0.0,0.0,0.269054,0.173725,0.557943,0.0,0.146011
48.0,8.93726,0.0477624,0.554508,0.0,0.0,0.0,0.0,0.140045,0.21437,0.46885,0.0,0.19544
49.0,8.97059,0.0228816,0.359982,0.0,0.0,0.0,0.0,0.0604745,0.294044,0.360979,0.00122817,0.131826
50.0,9.00392,0.0366334,0.204536,0.0,0.0,0.0,0.0,0.151993,0.383252,0.188656,0.0498889,0.0140332
51.0,9.03726,0.0,0.968617,0.0,0.0435822,0.149893,0.0,0.168745,0.102318,0.0,0.118794,0.0
