frame,time,Gastrocnemius Medialis,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius,External Oblique
0.0,6.75192,0.0246899,0.456632,0.0,0.0,0.0,0.0,0.00182045,0.274579,0.398774,0.0,0.0408424
1.0,6.78526,0.0100019,0.301239,0.0,0.0,0.0,0.0,0.0,0.269777,0.278294,0.0238415,0.0224488
2.0,6.81859,0.0284422,0.351573,0.0,0.0,0.0,0.0,0.0716034,0.219334,0.0,0.0,0.0
3.0,6.85192,0.0247803,0.303065,0.0,0.0,0.0,0.0,0.0321266,0.34109,0.0,0.112138,0.0
4.0,6.88526,0.0179928,0.0634869,0.0,0.0,0.0,0.0,0.12125,0.188171,0.0173894,0.131445,0.0
5.0,6.91859,0.0,0.972701,0.0,0.00206743,0.0190218,0.00155396,0.13729,0.063409,0.0,0.0,0.0016799
6.0,6.95192,0.0,0.931867,0.0,0.0445606,0.153199,0.00283184,0.0534258,0.00494652,0.0,0.0294518,0.0
7.0,6.98526,0.0,0.334707,0.00551366,0.0687235,0.258572,0.0562695,0.0,0.00599943,0.0,0.0702324,0.132511
8.0,7.01859,0.00337036,0.164263,0.0188795,0.0260282,0.142813,0.149754,0.0,0.0,0.0,0.0,0.0570684
9.0,7.05192,0.0,0.10421,0.0173605,0.0,0.024164,0.0341971,0.0708783,0.0529222,0.0,0.139771,0.088905
10.0,7.08526,0.0,0.313831,0.0,0.0,0.0561879,0.188383,0.0531919,0.247532,0.0,0.360992,0.118342
11.0,7.11859,0.113877,0.131708,0.037558,0.0173425,0.0607871,0.101944,0.0,0.0689335,0.0,0.42737,0.138418
12.0,7.15192,0.185234,0.120021,0.0425921,0.0,0.0,0.10796,0.0,0.125643,0.0,0.546376,0.106385
13.0,7.18526,0.0745402,0.311675,0.0,0.0,0.0,0.276212,0.0,0.176467,0.0400042,0.394076,0.0463296
14.0,7.21859,0.0788374,0.095475,0.0,0.0314431,0.0903671,0.256259,0.0,0.0594693,0.0,0.542947,0.0594952
15.0,7.25192,0.0682163,0.124025,0.0,0.0343163,0.102571,0.378235,0.0,0.013289,0.0,0.475452,0.0
