frame,time,Gastrocnemius Medialis,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius,External Oblique
0.0,10.3967,0.0,0.230277,0.0711461,0.0,0.177346,0.307982,0.0,0.0154292,0.0,0.058978,0.0766453
1.0,10.43,0.0,0.436081,0.0,0.0,0.02026,0.193724,0.0293731,0.0884643,0.0,0.339753,0.00910911
2.0,10.4633,0.0,0.140379,0.0,0.0,0.0013523,0.0163389,0.0,0.0,0.215936,0.0,0.275858
3.0,10.4967,0.0,0.457146,0.0,0.0,0.0,0.0,0.0951169,0.0278002,0.364007,0.0,0.102661
4.0,10.53,0.0,0.469199,0.0,0.0,0.0,0.0,0.098973,0.213355,0.427308,0.0,0.0642496
5.0,10.5633,0.0162681,0.348484,0.0,0.0,0.0,0.0,0.13796,0.363637,0.327372,0.0,0.0714132
6.0,10.5967,0.0453611,0.134032,0.0,0.0,0.0,0.0,0.336728,0.353452,0.115812,0.062793,0.0533181
7.0,10.63,0.0103852,0.279358,0.00841376,0.0,0.0,0.0,0.192401,0.276816,0.0,0.0379276,0.0353928
8.0,10.6633,0.0195621,0.283518,0.0,0.0,0.0,0.0,0.0451248,0.257193,0.0,0.0586729,0.0122512
9.0,10.6967,0.0220367,0.0998528,0.0,0.0,0.0,0.0,0.140154,0.134618,0.00447109,0.0812656,0.0
10.0,10.73,0.0,0.680572,0.0,0.0321866,0.0958662,0.0358279,0.062604,0.0198482,0.0205941,0.0303454,0.000326736
11.0,10.7633,0.00547037,0.0863481,0.0,0.0,0.0,0.00591734,0.00662465,0.00230462,0.17653,0.0,0.203111
12.0,10.7967,0.0,0.370992,0.00897145,0.0,0.00170244,0.030415,0.0,0.133399,0.0,0.0,0.121158
13.0,10.83,0.448003,0.527844,0.286326,0.0,0.147367,0.188259,0.0336677,0.0,0.0,0.0,0.213941
14.0,10.8633,0.079909,0.158421,0.0738838,0.0,0.0,0.0,0.0191473,0.190527,0.0,0.38522,0.0
15.0,10.8967,0.288131,0.192359,0.323034,0.0,0.0,0.0,0.201503,0.530591,0.0,0.312976,0.0794787
16.0,10.93,0.166281,0.127362,0.416719,0.0,0.0319579,0.0,0.0,0.0,0.0,0.157066,0.122876
17.0,10.9633,0.255589,0.334899,0.396917,0.0650687,0.189238,0.0,0.10118,0.0377967,0.00603515,0.2687,0.122546
18.0,10.9967,0.242869,0.373091,0.0,0.038856,0.108577,0.405442,0.0,0.0,0.029629,0.231854,0.0
19.0,11.03,0.167303,0.545216,0.238686,0.051686,0.179345,0.756056,0.0,0.0,0.130439,0.460341,0.0454811
20.0,11.0633,0.110661,0.67604,0.307106,0.0767047,0.277397,0.728547,0.0,0.00289188,0.146424,0.372492,0.0
21.0,11.0967,0.300473,0.323268,0.621826,0.0,0.0,0.749643,0.0,0.0,0.131704,0.580705,0.0417603
22.0,11.13,0.643481,0.450887,0.612516,0.00306878,0.0,0.603452,0.0,0.25711,0.115155,0.696188,0.125973
23.0,11.1633,0.710587,0.334728,0.638663,0.00703916,0.0,0.490171,0.0,0.1665,0.0265875,0.734451,0.143862
24.0,11.1967,0.568792,0.22895,0.722624,0.0592674,0.170754,0.343161,0.0,0.160111,0.0,0.865567,0.0
25.0,11.23,0.466287,0.0,0.288166,0.145675,0.408758,0.123862,0.0268243,0.000888055,0.0,0.471837,0.0
26.0,11.2633,0.0,0.177617,0.10244,0.00841958,0.283421,0.150375,0.0,0.0,0.0,0.0338064,0.0
27.0,11.2967,0.000589348,0.395957,0.0046378,0.0,0.0341634,0.312237,0.0,0.0,0.0,0.077333,0.146154
28.0,11.33,0.115713,0.363659,0.0195538,0.00483374,0.426427,0.861376,0.0,0.0,0.0,0.0,0.0
29.0,11.3633,0.0,0.305626,0.0,0.0,0.0106582,0.787963,0.0,0.0,0.288199,0.0,0.206842
30.0,11.3967,0.056141,0.255528,0.00264775,0.0605546,0.529298,0.891311,0.0,0.0,0.0,0.0,0.0327846
31.0,11.43,0.0,0.389353,0.0,0.0,0.0043747,0.792313,0.0,0.0,0.247826,0.0,0.167502
32.0,11.4633,0.0,0.535888,0.0,0.0,0.0,0.0950794,0.0,0.0,0.339634,0.0,0.0369205
33.0,11.4967,0.0,0.803558,0.0,0.0423772,0.130908,0.00689139,0.120408,0.119412,0.000334673,0.377431,0.131837
34.0,11.53,0.0,0.849922,0.0029139,0.0881487,0.542817,0.202161,0.0,0.0,0.0,0.294514,0.224728
35.0,11.5633,0.0,0.374681,0.266068,0.0,0.0121107,0.0,0.0327698,0.0210672,0.0,0.0170952,0.126593
36.0,11.5967,0.0,0.0921386,0.0,0.0,0.00818315,0.0,0.0168024,0.0,0.0652649,0.0,0.00696616
37.0,11.63,0.0,0.27944,0.0,0.0,0.0,0.0,0.0,0.096921,0.225279,0.0,0.0214792
38.0,11.6633,0.0,0.301067,0.0300522,0.0,0.0,0.0205874,0.0,0.0542675,0.180169,0.0257006,0.0906474
39.0,11.6967,0.205444,0.437224,0.204694,0.0,0.0419281,0.432219,0.0,0.172598,0.0,0.279782,0.0732225
