frame,time,Gastrocnemius Medialis,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius,External Oblique
0.0,4.32729,0.0,0.0493162,0.00240356,0.0,0.0612856,0.264883,0.0,0.0,0.0,0.187951,0.0674415
1.0,4.36063,0.0,0.0332368,0.0,0.0,0.00591335,0.0573602,0.00827475,0.0151121,0.0,0.204541,0.00558442
2.0,4.39396,0.0,0.251939,0.0,0.0,0.0,0.0,0.0301804,0.0,0.195954,0.177531,0.0585326
3.0,4.42729,0.0,0.566847,0.0,0.0,0.0,0.0,0.190151,0.0,0.387752,0.202026,0.0
4.0,4.46063,0.0,0.394666,0.0,0.0,0.0,0.0,0.0,0.0,0.2457,0.0,0.12635
5.0,4.49396,0.0,0.534313,0.0,0.0,0.0,0.0,0.0358707,0.0370807,0.386183,0.0,0.108105
6.0,4.52729,0.0266731,0.550232,0.0,0.0,0.0,0.0,0.0706778,0.202793,0.418703,0.0262127,0.0804789
7.0,4.56063,0.0687238,0.463916,0.0,0.0,0.0,0.0,0.143261,0.360334,0.353093,0.0548308,0.0876423
8.0,4.59396,0.0565818,0.23273,0.0,0.0,0.0,0.0,0.23124,0.379458,0.186411,0.0870546,0.0753363
9.0,4.62729,0.0384668,0.0631914,0.0,0.0,0.0,0.0,0.344817,0.35784,0.051471,0.155311,0.0
10.0,4.66063,0.0,0.97964,0.0,0.0325475,0.116037,0.0,0.265147,0.148795,0.0,0.146647,0.0554345
11.0,4.69396,0.0,0.962045,0.0,0.137563,0.420511,0.0113697,0.00387979,0.0108444,0.0,0.0725488,0.0
12.0,4.72729,0.0,0.426851,0.0,0.0,0.0550402,0.0267549,0.0,0.0101832,0.0,0.0,0.20074
13.0,4.76063,0.0,0.128466,0.0,0.0,0.0,0.0,0.0,0.0658035,0.025223,0.0142636,0.205135
14.0,4.79396,0.0017857,0.14578,0.0,0.0,0.0,0.0,0.0414854,0.0963965,0.00192056,0.0280269,0.190109
15.0,4.82729,0.0,0.301235,0.0,0.0,0.0129155,0.0,0.142134,0.146577,0.0,0.162718,0.120713
16.0,4.86063,0.0,0.469036,0.0,0.0,0.0153815,0.0208131,0.0226606,0.158143,0.0,0.36612,0.03895
17.0,4.89396,0.0,0.584236,0.0,0.0,0.0,0.0237458,0.0,0.193901,0.0671329,0.444103,0.0147236
18.0,4.92729,0.0,0.286911,0.0,0.0537993,0.188039,0.246224,0.0,0.0456555,0.0,0.451838,0.114291
19.0,4.96063,0.0,0.150443,0.0,0.0481577,0.168017,0.335678,0.0,0.0438442,0.0,0.601045,0.05096
20.0,4.99396,0.0,0.0,0.0,0.0199646,0.0775016,0.381999,0.0,0.00892182,0.0,0.320277,0.0
21.0,5.02729,0.0,0.0379663,0.0,0.0169094,0.0620377,0.343831,0.0,0.0107724,0.0,0.4243,0.0
22.0,5.06063,0.0,0.0765536,0.0,0.00712803,0.0331726,0.45995,0.0,0.000975843,0.00177504,0.402731,0.0
23.0,5.09396,0.0,0.342294,0.0,0.0278265,0.0920165,0.635346,0.0,0.0,0.0968993,0.456808,0.0
24.0,5.12729,0.0,0.518714,0.0,0.0526978,0.171045,0.706484,0.0,0.0,0.155825,0.500537,0.0
25.0,5.16063,0.0,0.508936,0.0,0.0673896,0.211621,0.709023,0.0,0.0,0.174785,0.49494,0.0
26.0,5.19396,0.241294,0.522963,0.0,0.0595696,0.177027,0.515718,0.0,5.14463e-06,0.114957,0.20323,0.168463
27.0,5.22729,0.161583,0.0,0.0,0.0640533,0.183441,0.0,0.272829,0.0,0.0,0.613304,0.243199
28.0,5.26063,0.0427498,0.0,0.223765,0.0253587,0.0967968,0.0,0.314701,0.0,0.0,0.301064,0.0784864
29.0,5.29396,0.239454,0.0,0.381152,0.00503716,0.0824524,0.0,0.17749,0.00952855,0.0,0.476345,0.13883
30.0,5.32729,0.311831,0.0,0.317365,0.0357363,0.16838,0.0,0.251839,0.0341532,0.0,0.498449,0.0174645
31.0,5.36063,0.159803,0.0,0.12358,0.0181293,0.174273,0.0,0.138078,0.0212798,0.0,0.238581,0.0972847
32.0,5.39396,0.0,0.0277255,0.00683143,0.0,0.0896617,0.17433,0.0,0.0,0.0521818,0.0298844,0.120781
33.0,5.42729,0.0,0.0629705,0.00248808,0.0,0.0679371,0.309153,0.0,0.0,0.00889236,0.189637,0.0684902
34.0,5.46063,0.0,0.0342792,0.0,0.0,0.00782274,0.100062,0.0,0.0,0.0,0.210017,0.0231184
35.0,5.49396,0.0,0.240623,0.0,0.0,0.0,0.0,0.029119,0.0,0.183756,0.181643,0.0664505
36.0,5.52729,0.00243406,0.576309,0.0,0.0,0.0,0.0,0.177511,0.0,0.394381,0.206304,0.0209232
37.0,5.56063,0.0,0.415525,0.0,0.0,0.0,0.0,0.0,0.0,0.264856,0.0,0.147163
38.0,5.59396,0.0,0.5177,0.0,0.0,0.0,0.0,0.04064,0.0264994,0.375714,0.0,0.116634
39.0,5.62729,0.0171258,0.553557,0.0,0.0,0.0,0.0,0.0633228,0.19193,0.425322,0.0277129,0.100687
40.0,5.66063,0.0744952,0.48268,0.0,0.0,0.0,0.0,0.137199,0.368315,0.364201,0.0587608,0.0767997
