frame,time,Gastrocnemius Medialis,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius,External Oblique
0.0,22.8204,0.681974,0.155901,0.162367,0.0337577,0.0802085,0.509995,0.0,0.0399634,0.087043,0.410193,0.0339942
1.0,22.8538,0.207118,0.227863,0.106149,0.0536158,0.137492,0.0,0.193163,0.0,0.0,0.80558,0.00609624
2.0,22.8871,0.188236,0.136503,0.39193,0.0,0.0,0.0,0.0,0.138999,0.0,0.166773,0.0
3.0,22.9204,0.369408,0.0,0.241151,0.0,0.00546212,0.0597196,0.0,0.0365865,0.0,0.449205,0.0869876
4.0,22.9538,0.385825,0.0,0.210523,0.034318,0.135972,0.0285878,0.0,0.0,0.0,0.461206,0.0518272
5.0,22.9871,0.123638,0.0,0.089067,0.00538649,0.100541,0.0,0.101349,0.0549579,0.0,0.44372,0.131973
6.0,23.0204,0.0,0.0232926,0.0,0.00109107,0.103012,0.152473,0.0,0.0,0.0,0.116763,0.0831713
7.0,23.0538,0.0,0.0189721,0.0,0.0,0.0586063,0.0962117,0.0,0.0,0.0135751,0.103825,0.145567
8.0,23.0871,0.0,0.00930294,0.0,0.0,0.0115142,0.0147722,0.0,0.0,0.00424386,0.02917,0.0662232
9.0,23.1204,0.0,0.0743123,0.0,0.0,0.0,0.0,0.0210991,0.0327648,0.0448007,0.0809231,0.0603576
10.0,23.1538,0.0,0.237411,0.0,0.0,0.0,0.0,0.0,0.0112773,0.128678,0.0364721,0.0794677
11.0,23.1871,0.0,0.548787,0.0,0.0,0.0,0.0,0.0646478,0.0362978,0.374267,0.0,0.0868862
12.0,23.2204,0.0173926,0.674441,0.0,0.0,0.0,0.0,0.0818258,0.0956739,0.510562,0.0,0.112584
13.0,23.2538,0.0304201,0.510645,0.0,0.0,0.0,0.0,0.0968765,0.280525,0.445531,0.0,0.114595
14.0,23.2871,0.0454949,0.322087,0.0,0.0,0.0,0.0,0.0782183,0.378326,0.300527,0.0237028,0.0823419
15.0,23.3204,0.0396629,0.149839,0.0,0.0,0.0,0.0,0.295369,0.336774,0.182863,0.0844052,0.0951164
16.0,23.3538,0.0,0.961711,0.0,0.020081,0.0543431,0.0,0.250377,0.140418,0.00564542,0.0196721,0.0
17.0,23.3871,0.0,0.854974,0.0,0.227843,0.589027,0.25085,0.0,0.00996306,0.0,0.113228,0.0688458
18.0,23.4204,0.0,0.480907,0.0,0.0692798,0.219113,0.177058,0.0,0.0,0.0,0.0,0.0956651
19.0,23.4538,0.0343181,0.0,0.00545406,0.0,1.70832e-05,0.0,0.0,0.0587834,0.0,0.114336,0.168753
20.0,23.4871,0.0986882,0.104004,0.0,0.0,0.0,0.0,0.0,0.0114127,0.0,0.0344885,0.069697
21.0,23.5204,0.0177053,0.111785,0.0,0.0,0.0,0.0,0.0,0.149644,0.104309,0.0162987,0.0470316
22.0,23.5538,0.0,0.0058876,0.00285542,0.0,0.0,0.00897596,0.0413432,0.124795,0.0,0.276728,0.0634157
23.0,23.5871,0.0,0.0988896,0.0,0.0,0.0,0.0678563,0.0,0.0764352,0.0,0.359212,0.0290981
24.0,23.6204,0.0,0.162811,0.0,0.0,0.0,0.0107735,0.0,0.194041,0.00577148,0.450657,0.0536306
25.0,23.6538,0.0275236,0.103557,0.00268882,0.0,0.0,0.0,0.0,0.295857,0.102913,0.505596,0.0324331
26.0,23.6871,0.266367,0.197054,0.150253,0.00749193,0.0205025,0.0402856,0.0,0.043387,0.0,0.410378,0.00138959
27.0,23.7204,0.236449,0.160035,0.0446877,0.0115751,0.0346197,0.190518,0.0,0.01706,0.0,0.381652,0.0
28.0,23.7538,0.304887,0.168704,0.0077118,0.0317302,0.0854263,0.113607,0.0,0.0239984,0.0,0.477227,0.0
29.0,23.7871,0.268968,0.117741,0.152565,0.0372427,0.107805,0.23554,0.0,0.0,0.0,0.24803,0.0
30.0,23.8204,0.40174,0.123152,0.112498,0.0389005,0.110007,0.359415,0.0,0.0,0.0117836,0.237636,0.0
31.0,23.8538,0.665133,0.183182,0.368372,0.0532433,0.136732,0.58185,0.0,0.0,0.0681617,0.39377,0.0
32.0,23.8871,0.770417,0.0787849,0.62276,0.0908222,0.234427,0.637668,0.0,0.00956312,0.0451469,0.567227,0.0
33.0,23.9204,0.763353,0.179963,0.157977,0.0306899,0.0697026,0.547005,0.0,0.080826,0.0799419,0.489426,0.0290291
